film,Oscar_Winner,num_nominations,Title,IMDb Rating,Runtime (mins),Year,Num Votes,IMDb Popularity,Num Directors,Comedy,Romance,Drama,War,Adventure,award_Acting,award_Animation,award_Cinematography,award_Costume Design,award_Directing,award_Documentary,award_Editing,award_International Feature,award_Makeup and Hairstyling,award_Music,award_Other,award_Picture,award_Production Design,award_Short Film,award_Sound,award_Visual Effects,award_Writing
One True Thing,0,1,One True Thing,6.9,127.0,1998,13069,90176.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Way Passage,1,1,One Way Passage,7.5,67.0,1932,4664,34980.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
One Who Came Back,0,1,One Who Came Back,6.9,21.0,1952,98,676.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
One from the Heart,0,1,One from the Heart,6.5,107.0,1981,8383,54489.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
One in a Million,0,1,One in a Million,5.9,95.0,1936,351,2070.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
One of Our Aircraft Is Missing,0,2,One of Our Aircraft Is Missing,7.0,82.0,1942,2806,19642.0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"One, Two, Three",0,1,"One, Two, Three",7.8,104.0,1961,23755,185289.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One-Eyed Jacks,0,1,One-Eyed Jacks,7.1,141.0,1961,14193,100770.29999999999,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One-Eyed Men Are Kings,1,1,One-Eyed Men Are Kings,6.4,15.0,1974,106,678.4000000000001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Only Angels Have Wings,0,2,Only Angels Have Wings,7.6,121.0,1939,16414,124746.4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Only When I Laugh,0,3,Only When I Laugh,6.4,120.0,1981,1718,10995.2,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onward,0,1,Onward,7.4,102.0,2020,178460,1320604.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Doors,0,1,Open Doors,7.1,108.0,1990,1082,7682.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Open Heart,0,1,Open Heart,7.1,40.0,2013,174,1235.3999999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Opera,0,1,Opera,7.3,9.0,2020,975,7117.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operation Blue Jay,0,1,Operation Blue Jay,5.9,28.0,1953,38,224.20000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Operation Homecoming: Writing the Wartime Experience,0,1,Operation Homecoming: Writing the Wartime Experience,7.2,81.0,2007,450,3240.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Operation Petticoat,0,1,Operation Petticoat,7.2,124.0,1959,16608,119577.6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Operation Thunderbolt,0,1,Operation Thunderbolt,6.6,124.0,1977,1090,7194.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Operation Vittles,0,1,Operation Vittles,5.4,15.0,1948,48,259.20000000000005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Operator 13,0,1,Operator 13,5.8,85.0,1934,1534,8897.199999999999,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oppenheimer,1,3,Oppenheimer,8.3,180.0,2023,876970,7278851.000000001,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orchestra Wives,0,1,Orchestra Wives,6.8,98.0,1942,1188,8078.4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ordinary People,1,6,Ordinary People,7.7,124.0,1980,59094,455023.8,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Orlando,0,2,Orlando,7.1,94.0,1992,19739,140146.9,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Oscar and Lucinda,0,1,Oscar and Lucinda,6.5,132.0,1997,7324,47606.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otello,0,1,Otello,6.9,118.0,1986,635,4381.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Othello,0,4,Othello,7.0,165.0,1965,1729,12103.0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Voices,0,1,Other Voices,,100.0,1970,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Our Curse,0,1,Our Curse,7.1,28.0,2013,405,2875.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Our Dancing Daughters,0,2,Our Dancing Daughters,6.7,85.0,1928,2112,14150.4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Our Time Is Up,0,1,Our Time Is Up,7.2,14.0,2004,972,6998.400000000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Our Town,0,6,Our Town,6.5,90.0,1940,3174,20631.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Our Very Own,0,1,Our Very Own,6.7,93.0,1950,668,4475.6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Out of Africa,1,11,Out of Africa,7.1,161.0,1985,89278,633873.7999999999,1,0,1,1,0,0,2,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0
Out of Sight,0,2,Out of Sight,7.0,123.0,1998,102456,717192.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Outland,0,1,Outland,6.6,109.0,1981,33584,221654.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Over There, 1914-18",0,1,"Over There, 1914-18",6.7,90.0,1963,35,234.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Over the Moon,0,1,Over the Moon,6.3,95.0,2020,25941,163428.3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overnight Sensation,0,1,Overnight Sensation,6.9,28.0,1984,55,379.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pacific Liner,0,1,Pacific Liner,5.7,76.0,1939,342,1949.4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paddle to the Sea,0,1,Paddle to the Sea,7.7,28.0,1966,572,4404.400000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pain and Glory,0,2,Pain and Glory,7.5,113.0,2019,65401,490507.5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paint Your Wagon,0,1,Paint Your Wagon,6.6,164.0,1969,15489,102227.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paisan,0,1,Paisan,7.6,120.0,1946,10040,76304.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pal Joey,0,4,Pal Joey,6.6,111.0,1957,6101,40266.6,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
Pan,0,1,Pan,6.6,23.0,1962,10,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pan's Labyrinth,1,6,Pan's Labyrinth,8.2,118.0,2006,722883,5927640.6,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
Panic in the Streets,1,1,Panic in the Streets,7.2,96.0,1950,9199,66232.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Papa's Delicate Condition,1,1,Papa's Delicate Condition,6.5,98.0,1963,775,5037.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paper Moon,1,4,Paper Moon,8.1,102.0,1973,54748,443458.8,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Paperman,1,1,Paperman,8.2,7.0,2012,36194,296790.8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillon,0,1,Papillon,8.0,151.0,1973,141938,1135504.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ParaNorman,0,1,ParaNorman,7.0,92.0,2012,113335,793345.0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradise,0,1,Paradise,7.2,15.0,1984,362,2606.4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradise Lost 3: Purgatory,0,1,Paradise Lost 3: Purgatory,8.0,121.0,2011,11207,89656.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paradise Now,0,1,Paradise Now,7.4,91.0,2005,24480,181152.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Parallel Mothers,0,2,Parallel Mothers,7.1,123.0,2021,38351,272292.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Parasite,1,6,Parasite,8.5,132.0,2019,1053191,8952123.5,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Parenthood,0,2,Parenthood,7.1,124.0,1989,56693,402520.3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paris Blues,0,1,Paris Blues,6.7,98.0,1961,4189,28066.3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Partners,0,1,Partners,5.9,36.0,1993,79,466.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parvaneh,0,1,Parvaneh,6.7,25.0,2012,636,4261.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Passengers,0,2,Passengers,7.0,116.0,2016,472508,3307556.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Passion Fish,0,2,Passion Fish,7.3,135.0,1992,6263,45719.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Passport to Nowhere,0,1,Passport to Nowhere,5.6,19.0,1947,23,128.79999999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Passport to Pimlico,0,1,Passport to Pimlico,7.1,84.0,1949,5584,39646.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pat and Mike,0,1,Pat and Mike,6.9,95.0,1952,6348,43801.200000000004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Patch Adams,0,1,Patch Adams,6.8,115.0,1998,125875,855950.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pathfinder,0,1,Pathfinder,7.1,86.0,1987,5776,41009.6,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Patton,1,10,Patton,7.9,172.0,1970,110922,876283.8,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,2,1,1,0,1,0,0
Paul Bunyan,0,1,Paul Bunyan,6.9,17.0,1958,1241,8562.9,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Robeson: Tribute to an Artist,1,1,Paul Robeson: Tribute to an Artist,7.5,30.0,1979,536,4020.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Peace on Earth,0,1,Peace on Earth,7.5,9.0,1939,1855,13912.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pear Cider and Cigarettes,0,1,Pear Cider and Cigarettes,6.8,35.0,2016,1324,9003.199999999999,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearl,0,1,Pearl,6.9,6.0,2016,2121,14634.900000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearl Harbor,1,4,Pearl Harbor,6.2,183.0,2001,360484,2235000.8000000003,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
Peggy Sue Got Married,0,3,Peggy Sue Got Married,6.4,103.0,1986,42472,271820.8,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelle the Conqueror,1,2,Pelle the Conqueror,7.7,157.0,1987,12244,94278.8,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pennies from Heaven,0,8,Pennies from Heaven,6.6,81.0,1936,835,5511.0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0
Penny Serenade,0,1,Penny Serenade,7.1,119.0,1941,8447,59973.7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penny Wisdom,1,1,Penny Wisdom,6.0,10.0,1937,341,2046.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pentecost,0,1,Pentecost,6.7,11.0,2011,487,3262.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
People Soup,0,1,People Soup,5.0,12.0,1969,110,550.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
People of the Wind,0,1,People of the Wind,7.5,110.0,1976,147,1102.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pepe,0,7,Pepe,5.4,180.0,1960,1189,6420.6,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
Period of Adjustment,0,1,Period of Adjustment,6.2,112.0,1962,1732,10738.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Period. End of Sentence.,1,1,Period. End of Sentence.,7.4,26.0,2018,6733,49824.200000000004,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Perri,0,1,Perri,6.7,75.0,1957,692,4636.400000000001,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Persepolis,0,1,Persepolis,8.0,96.0,2007,102662,821296.0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pete 'n' Tillie,0,2,Pete 'n' Tillie,6.2,100.0,1972,1220,7564.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pete Kelly's Blues,0,1,Pete Kelly's Blues,6.3,95.0,1955,1575,9922.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pete's Dragon,0,2,Pete's Dragon,6.3,128.0,1977,27309,172046.69999999998,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Peter Ibbetson,0,1,Peter Ibbetson,6.9,85.0,1935,2763,19064.7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Peyton Place,0,9,Peyton Place,7.2,157.0,1957,6924,49852.8,1,0,1,1,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Phaedra,0,1,Phaedra,6.8,115.0,1962,1985,13498.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom Thread,1,6,Phantom Thread,7.4,130.0,2017,151333,1119864.2,1,0,1,1,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Phantom of the Opera,1,4,Phantom of the Opera,6.4,92.0,1943,8832,56524.8,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Phantom of the Paradise,0,1,Phantom of the Paradise,7.3,91.0,1974,24151,176302.3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pharaoh,0,1,Pharaoh,7.3,151.0,1966,2458,17943.399999999998,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Philadelphia,1,5,Philadelphia,7.7,125.0,1993,266171,2049516.7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Philomena,0,4,Philomena,7.6,98.0,2013,105517,801929.2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Pianissimo,0,1,Pianissimo,5.5,6.0,1963,233,1281.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickup on South Street,0,1,Pickup on South Street,7.6,80.0,1953,16863,128158.79999999999,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picnic,1,6,Picnic,7.0,115.0,1955,10251,71757.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
Pieces of April,0,1,Pieces of April,7.0,80.0,2003,22586,158102.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pieces of Dreams,0,1,Pieces of Dreams,5.1,100.0,1970,369,1881.8999999999999,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pieces of a Woman,0,1,Pieces of a Woman,7.0,126.0,2020,58094,406658.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigs Is Pigs,0,1,Pigs Is Pigs,7.0,10.0,1954,505,3535.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigs in a Polka,0,1,Pigs in a Polka,6.8,8.0,1943,1120,7616.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigskin Parade,0,1,Pigskin Parade,6.1,93.0,1936,823,5020.299999999999,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pillow Talk,1,5,Pillow Talk,7.4,102.0,1959,20122,148902.80000000002,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Pina,0,1,Pina,7.6,103.0,2011,16326,124077.59999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pink and Blue Blues,0,1,Pink and Blue Blues,5.7,5.0,1952,165,940.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinky,0,3,Pinky,7.2,102.0,1949,3592,25862.4,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinocchio,1,8,Pinocchio,7.5,88.0,1940,166081,1245607.5,7,1,0,0,0,1,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0
Piper,1,1,Piper,8.3,6.0,2016,32862,272754.60000000003,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates,0,1,Pirates,6.0,121.0,1986,9797,58782.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,0,2,Pirates of the Caribbean: At World's End,7.1,169.0,2007,716849,5089627.899999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Pirates of the Caribbean: Dead Man's Chest,1,4,Pirates of the Caribbean: Dead Man's Chest,7.4,151.0,2006,794418,5878693.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
Pirates of the Caribbean: The Curse of the Black Pearl,0,5,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143.0,2003,1260488,10209952.799999999,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0
Places in the Heart,1,7,Places in the Heart,7.4,111.0,1984,14557,107721.8,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Placido,0,1,Placido,7.8,85.0,1961,3964,30919.2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plan for Destruction,0,1,Plan for Destruction,6.3,22.0,1943,196,1234.8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Planet Ocean,0,1,Planet Ocean,7.6,,1974,14,106.39999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Planet of the Apes,0,2,Planet of the Apes,8.0,112.0,1968,204288,1634304.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Platoon,1,8,Platoon,8.1,120.0,1986,454449,3681036.9,1,0,0,1,1,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
Pleasantville,0,3,Pleasantville,7.5,124.0,1998,139569,1046767.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Please Hold,0,1,Please Hold,7.2,19.0,2020,2250,16200.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pluto's Blue Note,0,1,Pluto's Blue Note,6.6,7.0,1947,493,3253.7999999999997,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plymouth Adventure,1,1,Plymouth Adventure,6.2,105.0,1952,1739,10781.800000000001,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pocahontas,1,2,Pocahontas,6.7,81.0,1995,210066,1407442.2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pocketful of Miracles,0,3,Pocketful of Miracles,7.1,136.0,1961,8351,59292.1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Poetic Justice,0,1,Poetic Justice,6.1,109.0,1993,17338,105761.79999999999,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Point of View,0,1,Point of View,,18.0,1966,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pollock,1,2,Pollock,7.0,122.0,2000,30322,212254.0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poltergeist,0,3,Poltergeist,7.3,114.0,1982,187526,1368939.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Poltergeist II: The Other Side,0,1,Poltergeist II: The Other Side,5.7,91.0,1986,31483,179453.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Poor Things,1,2,Poor Things,7.8,141.0,2023,337710,2634138.0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porcelain War,0,1,Porcelain War,7.1,87.0,2024,1170,8307.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Porgy and Bess,1,4,Porgy and Bess,6.9,138.0,1959,2016,13910.400000000001,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Portia on Trial,0,1,Portia on Trial,5.9,72.0,1937,96,566.4000000000001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Portrait of Chieko,0,1,Portrait of Chieko,7.1,125.0,1967,102,724.1999999999999,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Portrait of Imogen,0,1,Portrait of Imogen,7.0,30.0,1988,31,217.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Portrait of Jennie,1,2,Portrait of Jennie,7.6,86.0,1948,8041,61111.6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Portugal,0,1,Portugal,6.6,30.0,1957,36,237.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Poseidon,0,1,Poseidon,5.7,98.0,2006,112849,643239.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Possessed,0,1,Possessed,7.1,108.0,1947,6139,43586.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possessions,0,1,Possessions,6.8,14.0,2012,848,5766.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postcards from the Edge,0,2,Postcards from the Edge,6.7,101.0,1990,20397,136659.9,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Poster Girl,0,1,Poster Girl,6.7,38.0,2010,365,2445.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Precious Images,1,1,Precious Images,7.5,8.0,1986,772,5790.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Predator,0,1,Predator,7.8,107.0,1987,474963,3704711.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Prelude,0,1,Prelude,8.6,25.0,1968,34,292.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Presto,0,1,Presto,8.3,5.0,2008,26278,218107.40000000002,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pretty Baby,0,1,Pretty Baby,6.5,110.0,1978,13566,88179.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pretty Woman,0,1,Pretty Woman,7.1,119.0,1990,384238,2728089.8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pride & Prejudice,0,4,Pride & Prejudice,7.8,129.0,2005,349765,2728167.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Pride and Prejudice,1,1,Pride and Prejudice,7.4,118.0,1940,9596,71010.40000000001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pride of the Marines,0,1,Pride of the Marines,7.3,120.0,1945,1710,12483.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Primal Fear,0,1,Primal Fear,7.7,129.0,1996,258336,1989187.2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
